Product Name,SKU,Factory Cost,Status,Supplier Code,Factory,Category,M2-Parent product
Alfio Rectangle Travertine Dining Table with Cylinder Legs - Beige Travertine,G025-RN,"$1,029.13",Non-Inventory,SCGF-300,Cindy - Stone,Tables,G025
,,,,,,,
,,,,,,,
Sierra Oval Stone Dining Table with Angled Base / Moon Light,G026-Y5,$942.74,Non-Inventory,SCGF-300,Cindy - Stone,Tables,G026
Sierra Oval Stone Dining Table with Angled Base / White Travertine,G026-Y3,"$1,216.86",Non-Inventory,SCGF-300,Cindy - Stone,Tables,G026
,,,,,,,
,,,,,,,
Milan Oval Stone Dining Table with Half Cylinder Legs / White Travertine,G027-Y3,"$1,392.31",Non-Inventory,SCGF-300,Cindy - Stone,Tables,G027
Milan Oval Stone Dining Table with Half Cylinder Legs / Galaxy Blue,G027-Y9,"$1,392.31",Non-Inventory,SCGF-300,Cindy - Stone,Tables,G027
Milan Oval Stone Dining Table with Half Cylinder Legs / Moon Light,G027-Y5,"$1,133.95",Non-Inventory,SCGF-300,Cindy - Stone,Tables,G027
,,,,,,,
,,,,,,,
August Rectangle Travertine Dining Table with Block Legs / Silver Travertine,G028-Y4,$883.40,Non-Inventory,SCGF-300,Cindy - Stone,Tables,G028
August Rectangle Travertine Dining Table with Block Legs / White Travertine,G028-Y3,"$1,075.52",Non-Inventory,SCGF-300,Cindy - Stone,Tables,G028
,,,,,,,
,,,,,,,
Cosette Round Travertine Dining Table with Cylinder Pedestal Base - Beige Travertine,G029-RN,$790.83,Non-Inventory,SCGF-300,Cindy - Stone,Tables,G029
,,,,,,,
,,,,,,,
Terzo Round Marble Dining Table with Tri Cylinder Base / Moon Light,G032-Y5,"$1,149.63",Non-Inventory,SCGF-300,Cindy - Stone,Tables,G032
,,,,,,,
,,,,,,,
Dario Oval Stone Dining Table with Bi Conical Pedestal Base / White Travertine,G031-Y3,"$1,814.79",Non-Inventory,SCGF-300,Cindy - Stone,Tables,G031
,,,,,,,
,,,,,,,
Dario Round Stone Dining Table with Conical Pedestal Base / White Travertine,G030-Y3,"$1,107.53",Non-Inventory,SCGF-300,Cindy - Stone,Tables,G030
Dario Round Stone Dining Table with Conical Pedestal Base / Red Travertine,G030-Y6,$916.70,Non-Inventory,SCGF-300,Cindy - Stone,Tables,G030
Dario Round Stone Dining Table with Conical Pedestal Base / Moon Light,G030-Y5,$879.95,Non-Inventory,SCGF-300,Cindy - Stone,Tables,G030
,,,,,,,
,,,,,,,
Orazio Round Mushroom Marble Coffee Table & Side Table with Cylinder Pedestal Base Set - Moon Light,D025-Y5,$626.55,Non-Inventory,SCGF-300,Cindy - Stone,Tables,D025